restaurant_id,name,cuisine,address,taxi_zone_id,taxi_zone_name,estimated_area_sqft,capacity,turnover_rate,takeaway_ratio,eat_in_ratio,effective_supply_index,dropoff_count,effective_demand,congestion_score,estimated_wait_minutes,nyc_datetime,weather_factor
50046232,PANINI NATURAL FOODS,Sandwiches,"589 1 AVENUE, MANHATTAN, NY 10016",137,Kips Bay,8000.0,664.0,2.5,0.6,0.4,664.0,317,27.32487975757554,0.0411519273457463,0.0,,
50070295,CORVO COFFEE,Coffee/Tea,"270 WEST   39 STREET, MANHATTAN, NY 10018",100,Garment District,4548.025000000001,377.4860750000001,3.0,0.7,0.3,339.7374675000001,539,12.246330559106054,0.03604645271898382,0.0,,
50130778,L CHINGON MEXICAN CUISINE,Mexican,"400 AUDUBON AVENUE, MANHATTAN, NY 10033",243,Washington Heights North,880.0,58.96,1.8,0.4,0.6,63.6768,79,7.017281819161945,0.11020154623288145,0.0,,
41163622,POPEYES,Chicken,"601 WEST  191 STREET, MANHATTAN, NY 10040",243,Washington Heights North,2550.0,170.85000000000002,2.0,0.5,0.5,170.85000000000002,79,6.0649038703641365,0.03549841305451645,0.0,,
50170762,BURRATA BASIL PIZZA,Pizza,"221 AVENUE A, MANHATTAN, NY 10009",79,East Village,505.6,33.87520000000001,1.8,0.5,0.5,30.487680000000008,723,11.863420135072872,0.3891217742731775,0.0,,
50115645,JUST SALAD 1412 BROADWAY,Salads,"1412 BROADWAY, MANHATTAN, NY 10018",100,Garment District,756.125,62.758375,2.5,0.6,0.4,62.758375,539,15.41547698672152,0.2456321883210252,0.0,,
50175418,CUCI,Chicken,"14 ELIZABETH STREET, MANHATTAN, NY 10013",45,Chinatown,1000.0,67.0,2.0,0.5,0.5,67.0,140,7.844964751964416,0.11708902614872263,0.0,,
50171289,ISHQ,Indian,"202 AVENUE A, MANHATTAN, NY 10009",79,East Village,800.0,44.0,1.0,0.15,0.85,37.4,723,18.137150135992098,0.48495053839551067,0.0,,
40368581,MARIE'S CRISIS,American,"59 GROVE STREET, MANHATTAN, NY 10014",249,West Village,359.6,21.576,1.2,0.2,0.8,20.71296,652,23.431257219520937,1.1312365407706546,1.9063707274093176,,
50094935,DUNKIN,Donuts,"2414 BROADWAY, MANHATTAN, NY 10024",238,Upper West Side North,1125.25,93.39575,3.0,0.8,0.1999999999999999,56.03744999999999,524,17.59522150608508,0.31399040295525726,0.0,,
50131448,VILLAGE SQUARE PIZZA,Pizza,"1200 LEXINGTON AVENUE, MANHATTAN, NY 10028",236,Upper East Side North,582.4,39.0208,1.8,0.5,0.5,35.11872,1188,47.07975079823267,1.3405884610325396,3.974661581807793,,
50045159,LENWICH,Sandwiches/Salads/Mixed Buffet,"940 8 AVENUE, MANHATTAN, NY 10019",163,Midtown North,200.0,16.6,2.5,0.6,0.4,16.6,807,27.658084192741338,1.6661496501651407,8.061008915165353,,
50176894,THAI HOT BOX,Thai,"1598 3 AVENUE, MANHATTAN, NY 10128",236,Upper East Side North,800.0,44.0,1.0,0.15,0.85,37.4,1188,71.9769256142419,1.9245167276535269,11.924738942363302,,
50174068,DAVE'S HOT CHICKEN,American,"944 8 AVENUE, MANHATTAN, NY 10019",163,Midtown North,3276.0,196.56,1.2,0.2,0.8,188.6976,807,48.1555215473652,0.255199438399668,0.0,,
50148371,BROOKLYN BREAD CAFE,Bagels/Pretzels,"111 MURRAY STREET, MANHATTAN, NY 10007",231,TriBeCa/Civic Center,871.2,72.3096,3.0,0.8,0.1999999999999999,43.38576,535,9.282490771135679,0.2139524759076637,0.0,,
50172135,DUNKIN/SAMUEL I. NEWHOUSE FERRY BOATS TAVERN,Donuts,"4 SOUTH STREET, MANHATTAN, NY 10004",88,Financial District South,6293.753333333333,522.3815266666667,3.0,0.8,0.1999999999999999,313.428916,177,6.481306410807581,0.020678712396808917,0.0,,
50169242,DUNKIN DONUTS/ SANDY GROUND FERRY BOATS TAVERN,Donuts,"4 SOUTH STREET, MANHATTAN, NY 10004",88,Financial District South,6293.753333333333,522.3815266666667,3.0,0.8,0.1999999999999999,313.428916,177,6.481306410807581,0.020678712396808917,0.0,,
40708523,IL POSTO ACCANTO,Italian,"190 EAST    2 STREET, MANHATTAN, NY 10009",79,East Village,1017.6,55.968,1.0,0.1,0.9,50.3712,723,18.985756868700015,0.3769169062619119,0.0,,
40980389,THE GRAFTON PUBLIC HOUSE,Irish,"126 1 AVENUE, MANHATTAN, NY 10009",79,East Village,307.4666666666667,16.910666666666668,1.0,0.1,0.9,15.219600000000002,723,18.985756868700015,1.2474543922770647,2.993113345209188,,
50097947,AARON'S CHINESE AND THAI,Chinese,"338 9 AVENUE, MANHATTAN, NY 10001",68,East Chelsea,640.0,38.4,1.2,0.3,0.7,32.256,862,32.77479396467016,1.0160836422578794,1.004460440911523,,
50124712,NOIDUE GELATO,Frozen Desserts,"489 COLUMBUS AVENUE, MANHATTAN, NY 10024",239,Upper West Side South,720.0,59.760000000000005,3.0,0.8,0.1999999999999999,35.855999999999995,830,14.539963693148477,0.4055099200454172,0.0,,
50176443,MANGO MANGO DESSERT,Bakery Products/Desserts,"41 WEST   14 STREET, MANHATTAN, NY 10011",234,Union Sq,4083.8,338.95540000000005,3.0,0.7,0.3,305.05986000000007,707,13.023451146215573,0.04269146109952181,0.0,,
50134378,COPPER MUG COFFEE,Coffee/Tea,"38 WEST   30 STREET, MANHATTAN, NY 10001",164,Midtown South,5775.0,479.3250000000001,3.0,0.7,0.3,431.3925000000001,745,10.115004362574638,0.023447334764917414,0.0,,
50175335,HOKKAIDO BAKED CHEESE TART,Bakery Products/Desserts,"220 8 AVENUE, MANHATTAN, NY 10011",90,Flatiron,1500.0,124.5,3.0,0.7,0.3,112.05,411,13.451400099175748,0.12004819365618695,0.0,,
50159460,UPON THE PALACE,Asian/Asian Fusion,"319 GREENWICH STREET, MANHATTAN, NY 10013",231,TriBeCa/Civic Center,1343.2,80.592,1.1,0.2,0.8,70.92096000000001,535,28.13925008058047,0.3967691650053872,0.0,,
50089252,DUNKIN',Donuts,"1571 YORK AVENUE, MANHATTAN, NY 10028",262,Yorkville East,1881.6,156.1728,3.0,0.8,0.1999999999999999,93.70367999999998,365,23.32935332529518,0.24896944629384019,0.0,,
